title,imdb_user_rating,imdb_critic_rating
"20,000 Days on Earth (2014)",7.5,83
Nashville ,7.7,77
Crumb (1994),8,93
Marina Abramovic: The Artist Is Present (2012),7.9,74
Los Angeles Plays Itself (2003),8,86
49 Up (2005),8.2,84
Straight Outta Compton (2015),7.9,72
Lagaan: Once Upon a Time in India (2001),8.1,84
Hedwig and the Angry Inch (2001),7.8,85
Crazy Heart (2009),7.3,83
My Kid Could Paint That (2007),7.2,74
End of the Century (2003),8,74
Dave Chappelle's Block Party (2005),7.2,84
The Sapphires (2012),7.1,67
U2 3D (2007),8.4,83
A Band Called Death (2012),7.5,77
Florence Foster Jenkins (2016),6.8,71
The Sound of Music (1965),8,63
Scratch (2001),7.9,77
Shine (1996),7.7,87
Caesar Must Die (2012),7.3,77
Sid and Nancy (1986),7.1,76
Five Easy Pieces (1970),7.5,85
Buena Vista Social Club (1999),7.6,81
