,title,Critic Score,Audience_Score,Genre,director,studio
27,CHRISTOPHER ROBIN,71,86,Action & Adventure,Marc Forster,Walt Disney Pictures
28,THE GUILTY (DEN SKYLDIGE),98,100,Mystery & Suspense,Gustav Möller,Magnolia Pictures
29,THE HAPPY PRINCE,72,71,Drama,Rupert Everett,Sony Pictures Classics
30,ALPHA,81,74,Drama,Albert Hughes,Sony Pictures
31,ANT-MAN AND THE WASP,88,79,Action & Adventure,Peyton Reed,Walt Disney Pictures
32,FAHRENHEIT 11/9,80,57,Documentary,Michael Moore,Briarcliff Entertainment
33,SLENDER MAN,8,20,Horror,Sylvain White,Screen Gems
34,WHITE BOY RICK,59,55,Horror,Sylvain White,Screen Gems
35,STUDIO 54,90,82,Documentary,Matt Tyrnauer,Zeitgeist Films
36,MANDY,92,70,Mystery & Suspense,Panos Cosmatos,RLJE Films
37,WHAT THEY HAD,87,100,Drama,Elizabeth Chomko,Bleecker Street
38,UNBROKEN: PATH TO REDEMPTION,39,86,Drama,Harold Cronk,Pure Flix
39,MONSTERS AND MEN,83,86,Drama,Harold Cronk,Pure Flix
40,1945,97,83,Art House & International,Ferenc Torok,Katapult Film
41,LITTLE WOMEN,33,82,Art House & International,Ferenc Torok,Katapult Film
42,WINGS OF DESIRE,98,94,Art House & International,Ferenc Torok,Katapult Film
43,SEARCHING,93,89,Mystery & Suspense,Aneesh Chaganty,Screen Gems
44,"LOVE, GILDA",88,86,Mystery & Suspense,Aneesh Chaganty,Screen Gems
45,MATANGI/MAYA/M.I.A.,87,94,Mystery & Suspense,Aneesh Chaganty,Screen Gems
46,"JULIET, NAKED",83,88,Comedy,Jesse Peretz,Lionsgate and Roadside Attractions
47,PICK OF THE LITTER,100,91,Documentary,Dana Nachman,Sundance Selects
48,MAD MAX: FURY ROAD,97,85,Action & Adventure,George Miller,Warner Bros.
49,WONDER WOMAN,93,88,Drama,Patty Jenkins,Warner Bros. Pictures
50,LOGAN,93,90,Drama,James Mangold,20th Century Fox
