,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
138,A Bug's Life (1998),72.0,77,94,80,120000000 ,162798565
139,Arthur Christmas (2011),71.0,69,95,85,nan,46462469
140,Boy and the World (2013),76.0,80,94,92,nan,129479
141,Ponyo (2008),77.0,86,97,88,nan,15090400
142,Bolt (2008),69.0,67,92,85,nan,114053579
143,Tangled (2010),78.0,71,94,52,nan,200821936
144,The Simpsons Movie (2007),73.0,80,90,85,nan,183135014
145,Shrek (2001),79.0,84,96,89,nan,267665011
146,Shrek 2 (2004),72.0,75,90,73,nan,436471036
147,The Wind Rises (2013),78.0,83,93,80,nan,5209580
148,Frankenweenie (2012),70.0,74,90,73,nan,35291068
149,When Marnie Was There (2014),77.0,72,91,89,nan,765127
150,The Peanuts Movie (2015),71.0,67,93,94,nan,130178411
151,Kung Fu Panda (2008),76.0,73,89,91,130000000 ,215434591
152,Rango (2011),72.0,75,92,88,nan,123477607
153,Corpse Bride (2005),74.0,83,92,72,40000000 ,53359111
154,Sausage Party (2016),62.0,66,92,76,nan,97661826
155,Mulan (1998),76.0,71,95,77,nan,120620254
156,Lilo & Stitch (2002),72.0,73,95,92,80000000 ,145794338
157,The Emperor's New Groove (2000),73.0,70,92,65,nan,89302687
158,Chico & Rita (2010),72.0,76,91,83,€9200000 ,Opening
159,Puss in Boots (2011),66.0,65,89,73,nan,149260504
160,Anastasia (1997),71.0,59,89,87,nan,58406347
161,Brave (2012),71.0,69,88,77,185000000 ,237283207
162,Get Out (2017),77.0,84,88,90,5000000 ,176040665
163,All About Eve (1950),83.0,98,88,69,nan,10177
164,It Happened One Night (1934),81.0,87,88,85,nan,nan
165,Modern Times (1936),85.0,96,87,70,nan,163245
166,Singin' in the Rain (1952),83.0,99,91,80,nan,8819028
167,The Big Sick (2017),76.0,86,91,88,5000000 ,42872467
168,A Hard Day's Night (1964),77.0,96,87,76,nan,13780024
169,The Philadelphia Story (1940),80.0,96,87,82,nan,nan
170,La La Land (2016),81.0,93,90,79,30000000 ,151101803
171,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),84.0,96,87,69,nan,9440272
172,Cool Hand Luke (1967),81.0,91,87,90,nan,Cumulative
173,Monty Python and the Holy Grail (1975),83.0,93,84,77,nan,1229197
174,Paterson (2016),74.0,90,82,50,nan,2141423
175,Before Midnight (2013),79.0,94,86,85,3000000 ,8114627
176,It's a Wonderful Life (1946),86.0,89,86,77,nan,7270000
177,La Dolce Vita (1960),81.0,93,85,83,nan,19516000
178,To Be or Not to Be (1942),82.0,86,87,77,nan,nan
179,Annie Hall (1977),80.0,92,84,67,4000000 ,39200000
180,Love & Friendship (2016),64.0,87,85,77,3000000 ,14013564
181,Mary Poppins (1964),78.0,88,79,76,6000000 ,102272727
182,The Artist (2011),79.0,89,99,86,15000000 ,Opening
183,The Nice Guys (2016),74.0,70,100,94,50000000 ,36261763
184,Paddington (2014),72.0,77,98,93,55000000 ,Opening
185,Spy (2015),70.0,75,100,95,65000000 ,110825712
186,Logan Lucky (2017),70.0,78,100,95,29000000 ,27780977
187,Airplane! (1980),78.0,78,98,88,nan,83400000
188,The Player (1992),76.0,86,98,89,nan,21706100
189,The Princess Bride (1987),81.0,77,100,93,16000000 ,30857814
190,Some Like It Hot (1959),83.0,97,100,86,nan,25000000
191,Big (1988),73.0,73,97,92,nan,114968774
192,Don't Think Twice (2016),67.0,83,91,81,nan,4417983
193,Life of Brian (1979),81.0,75,99,94,nan,20045115
