Critic.Score,Audience_Score,imdb_user_rating,imdb_critic_rating,studio
97,95,6.4,87,Piki Films
96,71,7,74,Magnolia Pictures
98,82,8.4,84,MGM
100,93,8.1,90,Sony Pictures Home Entertainment
94,95,7.8,89,Disney/Pixar
97,90,7.8,96,Disney/Pixar
98,93,6.7,81,United Artists
100,89,7.9,74,MGM Home Entertainment
97,92,8,82,Paramount Pictures
97,60,7.8,88,A24
100,86,7.7,68,Radius-TWC
98,90,8.3,98,Universal Pictures
98,90,7.8,67,Sony Pictures Home Entertainment
95,87,7.8,75,Janus Films
100,93,7.4,75,Liberty Films
98,83,7.6,81,Buena Vista Pictures
98,92,8.5,96,Universal Pictures
92,79,5.8,67,Lionsgate and Roadside Attractions
98,80,8.1,78,Universal City Studios
94,79,8.3,93,A24 Films
92,75,7.4,99,Radius-TWC
97,89,7.8,84,RKO Pictures
98,84,6.8,94,Focus Features
97,94,7.4,85,Paramount Pictures
97,88,7.6,71,Fox Searchlight Pictures
96,94,7.7,75,Lionsgate
94,91,7.9,79,American International Picture
97,82,7.2,74,Rialto Pictures
95,90,7.8,85,Paramount Pictures
98,69,7.7,77,Liongate Films
97,93,7,70,Buena Vista Pictures
100,93,7.9,88,B4U Entertainment
94,94,5.5,43,20th Century Fox
96,94,7.9,76,The Weinstein Company
91,86,8.1,91,Columbia Pictures
96,88,8.3,98,Paramount Pictures
96,78,8,80,Paramount Pictures
97,76,7.6,76,Cinema Guild
95,83,8.2,88,Overture Films
96,86,7.9,88,Magnet/Magnolia Pictures
97,82,8.5,80,Magnolia Pictures
93,86,7.2,87,Buena Vista Distribution Compa
98,90,7.7,90,Katapult Film
95,75,7.2,77,20th Century Fox
95,85,8.2,98,Fingerprint Releasing / Bleecker Street
98,90,6.3,68,Miramax Films
98,78,7.4,90,Sony Pictures
98,86,6.6,29,Submarine Entertainment
95,80,8.1,90,Focus Features
98,89,7.6,67,United Artists
100,90,7.5,99,Roadside Attractions
99,93,7.4,79,Screen Gems
100,89,7.7,86,Foremco
99,92,8.5,97,Warner Bros. Pictures
97,95,6.6,65,Warner Bros. Pictures
100,90,8.5,85,Warner Bros.
97,92,7.2,75,Magnolia Pictures
97,94,8,96,Amazon Studios
97,87,7.2,72,RLJE Films
98,86,8.5,100,Music Box Films
100,89,8.1,81,Magnolia Pictures
99,94,8,80,Walt Disney Pictures
98,95,8.1,76,IFC Films
